2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,587 - INFO - Processing PDF: input_pdfs\Attendance Tracker Technical Documentation.pdf (40 pages)
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,595 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,603 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,604 - WARNING - CropBox missing from /Page, defaulting to MediaBox
